Temporada,Jornada,Fecha,Hora,Equipo Local,Equipo Visitante,Resultado,Arbitro
2013-14,1,SAB 17.08.2013,19:00,Real Sociedad,Getafe CF,2-0,-
2013-14,1,SAB 17.08.2013,21:00,Real Valladolid CF,Athletic Club,1-2,-
2013-14,1,SAB 17.08.2013,23:00,Valencia CF,Málaga CF,1-0,-
2013-14,1,DOM 18.08.2013,19:00,FC Barcelona,Levante UD,7-0,-
2013-14,1,DOM 18.08.2013,21:00,CA Osasuna,Granada CF,1-2,-
2013-14,1,DOM 18.08.2013,21:00,Real Madrid,Real Betis,2-1,-
2013-14,1,DOM 18.08.2013,23:00,Sevilla FC,Atlético de Madrid,1-3,-
2013-14,1,LUN 19.08.2013,20:00,Rayo Vallecano,Elche CF,3-0,-
2013-14,1,LUN 19.08.2013,22:00,UD Almería,Villarreal CF,2-3,-
2013-14,1,LUN 19.08.2013,22:00,RC Celta,RCD Espanyol de Barcelona,2-2,-
2013-14,2,VIE 23.08.2013,20:00,Getafe CF,UD Almería,2-2,-
2013-14,2,VIE 23.08.2013,22:00,Athletic Club,CA Osasuna,2-0,-
2013-14,2,SAB 24.08.2013,19:00,Elche CF,Real Sociedad,1-1,-
2013-14,2,SAB 24.08.2013,21:00,RCD Espanyol de Barcelona,Valencia CF,3-1,-
2013-14,2,SAB 24.08.2013,23:00,Villarreal CF,Real Valladolid CF,2-1,-
2013-14,2,DOM 25.08.2013,19:00,Atlético de Madrid,Rayo Vallecano,5-0,-
2013-14,2,DOM 25.08.2013,21:00,Levante UD,Sevilla FC,0-0,-
2013-14,2,DOM 25.08.2013,21:00,Málaga CF,FC Barcelona,0-1,-
2013-14,2,DOM 25.08.2013,23:00,Real Betis,RC Celta,1-2,-
2013-14,2,LUN 26.08.2013,21:00,Granada CF,Real Madrid,0-1,-
2013-14,3,VIE 30.08.2013,23:00,UD Almería,Elche CF,2-2,-
2013-14,3,VIE 30.08.2013,23:00,Rayo Vallecano,Levante UD,1-2,-
2013-14,3,SAB 31.08.2013,19:00,RC Celta,Granada CF,1-1,-
2013-14,3,SAB 31.08.2013,21:00,Real Valladolid CF,Getafe CF,1-0,-
2013-14,3,SAB 31.08.2013,23:00,CA Osasuna,Villarreal CF,0-3,-
2013-14,3,DOM 01.09.2013,12:00,Real Madrid,Athletic Club,3-1,-
2013-14,3,DOM 01.09.2013,17:00,RCD Espanyol de Barcelona,Real Betis,0-0,-
2013-14,3,DOM 01.09.2013,19:00,Real Sociedad,Atlético de Madrid,1-2,-
